synset	word	csco
02763824-a	meridional	99.0
14453676-n	ancylostoma_duodenale	99.0
02641571-a	arsénico	49.0
01987228-n	familia_Palaemonidae	99.0
01987228-n	Palaemonidae	99.0
00267681-v	menguar	99.0
10478626-n	moroso	99.0
10478626-n	alguien_que_retrasa	99.0
10478626-n	perezoso	99.0
01891773-a	presuntuoso	49.0
01891773-a	fatuo	49.0
01891773-a	engreído	49.0
01891773-a	vanidoso	49.0
07051851-n	nana	49.0
13651520-n	millas	99.0
02344060-v	pagar	99.0
02344060-v	reembolsar	99.0
02344060-v	compensar	99.0
02344060-v	devolver	99.0
02617402-n	género_Zoarces	99.0
02617402-n	genus_zoarces	49.0
02617402-n	Zoarces	99.0
02617402-n	zoarces	49.0
15074962-n	papel_de_seda	49.0
14361182-n	tortícolis	49.0
00405554-a	etiolado	49.0
00405554-a	decolorado	49.0
06606191-n	matiz	99.0
00689205-v	conjeturar	49.0
00689205-v	suponer	99.0
05259823-n	cola	99.0
00851100-v	tomar_el_pelo	49.0
13685096-n	unidad_monetaria_de_Sierra_Leona	35.0
13685096-n	unidad_monetaria_sierraleonesa	99.0
15221818-n	solsticio	79.0
06188721-n	bizantinismo	49.0
14636523-n	unnilpentium	49.0
14636523-n	dubnio	99.0
01173656-v	picotear	49.0
02548588-v	favorecer	99.0
09873242-n	alto_mando	99.0
09873242-n	espadón	49.0
11620912-n	abeto	49.0
02758753-n	accesorios	49.0
02758753-n	accesorio_para_automóvil	99.0
01071198-a	fresco	99.0
12754781-n	acer_platanoides	49.0
01535310-n	zonotrichia	49.0
01535310-n	genus_zonotrichia	49.0
09233715-n	cabo	99.0
10508862-n	lector	99.0
10508862-n	lectora	49.0
00549236-a	prolijo	59.0
00549236-a	verboso	69.0
00971999-v	fallar	99.0
00971999-v	dictaminar	59.0
01907287-n	coanocito	59.0
02236888-v	repostar	49.0
08766236-n	Estocolmo	69.0
08766236-n	capital_de_Suecia	49.0
01406058-a	engendrado	49.0
00669099-v	consentir	99.0
00669099-v	permitir	99.0
08358332-n	encuentro_multitudinario	49.0
06733939-n	evidencia	99.0
00053609-n	desaparición	99.0
06621771-n	episodio	99.0
06621771-n	capítulo	99.0
03065685-a	fecal	99.0
03244231-n	eje_motor	99.0
03244231-n	eje_de_mando	99.0
03244231-n	árbol_motor	49.0
07386194-n	toque_de_difuntos	49.0
07386194-n	doble	99.0
00977336-v	proclamar	99.0
14808273-n	serotonina	99.0
12005500-n	genus_pulicaria	49.0
12005500-n	pulicaria	49.0
07448121-n	fiesta_de_cumpleaños	99.0
10531109-n	factótum	49.0
10531109-n	mano_derecha	49.0
04600912-n	ropa_de_trabajo	49.0
02065599-n	genus_megaptera	49.0
02065599-n	género_Megaptera	99.0
02065599-n	Megaptera	99.0
02065599-n	megaptera	49.0
01336635-v	cubrir	99.0
01555437-v	cortar	99.0
14644654-n	número_atómico_25	49.0
14644654-n	manganeso	89.0
02898093-n	horno_de_ladrillos	49.0
02898093-n	horno_ladrillero	99.0
07196075-n	entrevista	99.0
04952944-n	chispeo	49.0
04952944-n	centelleo	49.0
04952944-n	titileo	49.0
09031653-n	Suiza	69.0
05044822-n	serie	99.0
05044822-n	secuencia	99.0
05044822-n	secuencia_cronológica	99.0
05044822-n	sucesión	99.0
11525779-n	remolino	49.0
11525779-n	torbellino	59.0
09480556-n	Wisconsin	99.0
09480556-n	río_Wisconsin	99.0
06978180-n	lengua_caucásica	49.0
04041747-n	antena_de_radio	49.0
08789970-n	Tesalia	69.0
00234106-a	unidireccional	79.0
13899735-n	esférula	49.0
11512650-n	conducción_eléctrica	49.0
08407839-n	exhibición_de_arte	49.0
08407839-n	exposición_de_arte	49.0
01282022-n	Iwo_Jima	99.0
02785647-a	prostodóntico	99.0
10201366-n	importador	79.0
13587525-n	autoinducción	49.0
11399866-n	John_Wickliffe	99.0
11399866-n	John_Wycliffe	99.0
11399866-n	John_Wyclif	99.0
02064537-a	sinóptico	49.0
01161017-n	amonestación	99.0
01161017-n	reprimenda	99.0
02700867-v	sostener	99.0
02700867-v	contener	99.0
02700867-v	portar	99.0
02700867-v	poseer	99.0
02700867-v	soportar	99.0
02700867-v	llevar	99.0
13948441-n	clase_alta	49.0
00636547-a	provinciano	49.0
01532149-a	prudente	99.0
01532149-a	precavido	49.0
01532149-a	cauteloso	59.0
10691148-n	bailarín_de_claqué	49.0
01909978-v	volcar	99.0
01909978-v	invertir	99.0
01909978-v	revolver	99.0
15213303-n	mediados_de_octubre	99.0
02186338-a	1	79.0
02186338-a	I	49.0
02186338-a	uno	49.0
00936913-v	chivar	99.0
13995378-n	licencia	99.0
80000047-a	lítico	99.0
06938294-n	tahitiano	49.0
12082764-n	selenipedium	49.0
12082764-n	genus_selenipedium	49.0
00016532-a	torrencial	49.0
00194831-n	habituación	49.0
01680756-v	animalizar	49.0
02980583-a	micrometeorítico	99.0
02400218-a	imponible	99.0
02400218-a	gravable	99.0
06287859-n	anáfora	49.0
06578527-n	MapQuest	99.0
06370522-n	saga	99.0
06370522-n	epopeya	59.0
00253761-v	desarrollar	99.0
06529219-n	orden_de_compra	59.0
00735608-a	demolido	49.0
00735608-a	desmantelado	49.0
13236354-n	genus_cynancum	49.0
10554455-n	rompehuelgas	49.0
10554455-n	esquirol	99.0
10554455-n	rompe-huelgas	99.0
10554455-n	rompe-huelga	99.0
02664511-n	parophrys	49.0
02664511-n	genus_parophrys	49.0
01612627-a	condescendiente	59.0
01612627-a	conforme	49.0
02596888-n	umbrina	49.0
02596888-n	Umbrina	99.0
02596888-n	genus_umbrina	49.0
02596888-n	género_Umbrina	99.0
10389976-n	oyabun	99.0
11011398-n	Cary_Grant	99.0
00995525-v	romanizar	99.0
00995525-v	latinizar	99.0
00697589-v	decidir	99.0
00697589-v	determinar	99.0
05026312-n	masa_molecular_relativa	99.0
05026312-n	masa_molecular	59.0
05026312-n	peso_molecular	99.0
11198608-n	Eadweard_Muybridge	99.0
80001153-n	renograma	99.0
08188235-n	conjunto	99.0
08188235-n	grupo	99.0
08188235-n	banda	99.0
00333426-v	tapar	99.0
00333426-v	separar	99.0
14455700-n	nada	49.0
14455700-n	nulidad	49.0
09415938-n	arroyuelo	49.0
07037059-n	Magníficat	99.0
07037059-n	magnificat	49.0
00786291-a	documentado	49.0
00714889-a	suplicante	59.0
03233744-n	puente_levadizo	69.0
01730820-a	otro	49.0
07289014-n	dificultad	99.0
07289014-n	contrariedad	49.0
07289014-n	problema	99.0
14994004-n	polisacárido	89.0
00775286-n	apresamiento	99.0
00775286-n	captura	99.0
00775286-n	prendimiento	99.0
02275365-v	atribuirse	49.0
02531820-n	Clupea	99.0
02531820-n	clupea	49.0
02531820-n	género_Clupea	99.0
02531820-n	genus_clupea	49.0
12326604-n	haloragáceas	49.0
10772392-n	invitado_a_una_boda	35.0
07996598-n	colonia_de_conejos	99.0
07996598-n	conejal	99.0
07996598-n	conejar	99.0
13432443-n	anovulación	99.0
03046802-n	péndola	49.0
03069567-n	pieza_de_colección	49.0
12914433-n	verbenáceas	49.0
02701730-n	órgano_americano	49.0
04438742-n	timolol	99.0
14440875-n	degeneración	49.0
06309383-n	categoría_gramatical	49.0
06309383-n	categoría_sintáctica	49.0
13935910-n	patata_caliente	49.0
13935910-n	carbón_ardiente	99.0
01103693-v	dar_una_paliza	99.0
01103693-v	zurrar	99.0
10191192-n	humanista	49.0
00684480-a	decisivo	99.0
02317335-n	estrella_de_mar	59.0
02317335-n	estrellamar	49.0
02317335-n	asteroidea	99.0
01424350-v	hocicar	99.0
01424350-v	acariciar_con_la_nariz	35.0
07729485-n	soja	49.0
09785236-n	limosnero	99.0
05858699-n	variable_dependiente	59.0
10809223-n	Esopo	69.0
09564177-n	Vesta	49.0
01749017-v	escribir_en_itálica	99.0
04367371-n	sutura	69.0
00504019-v	pellizcar	99.0
00504019-v	velicar	99.0
00981818-a	animado	99.0
00981818-a	rápido	99.0
02984491-a	copulativo	99.0
11969410-n	genus_felicia	49.0
11969410-n	felicia	49.0
08732116-n	Colombia	69.0
03886151-n	cruz_papal	99.0
