synset	word	csco
04663494-n	cuidado	55.0
15147850-n	adolescência	55.0
00623862-n	problema	55.0
00623862-n	dificuldade	55.0
02696129-v	dominar	55.0
02681881-a	cartográfico	55.0
08397856-n	cavalaria	55.0
00819508-v	confessar	55.0
00109151-r	ali	55.0
00109151-r	naquele_lugar	55.0
03411762-n	galeria	55.0
13670668-n	dinar	55.0
05925366-n	exemplo	55.0
05925366-n	modelo	55.0
02422699-n	impala	55.0
01994910-n	daphnia	55.0
01307896-v	degradar	55.0
00294452-n	sprint	55.0
05064541-n	topografia	2.3933
00065855-n	crédito_de_curso	55.0
00065855-n	crédito	55.0
02600490-v	usar	2.0845
02600490-v	utilizar	2.251
00306900-n	etapa	2.3572
00306900-n	fase	55.0
02215977-a	múltiplo	55.0
07276414-n	demissão	55.0
07276414-n	despedimento	55.0
00420477-n	perseguição	55.0
05611062-n	zona	2.1133
01773234-a	susceptível	55.0
00851239-v	provocar	55.0
01555437-v	cortar	55.0
00247247-a	imaculado	55.0
01146039-n	travão	2.1604
07775375-n	peixe	55.0
00933154-a	oneroso	2.3051
00933154-a	caro	55.0
08632894-n	lua	2.0232
03102558-a	prismático	55.0
00192300-n	redução	55.0
00192300-n	simplificação	55.0
03287733-n	motor	55.0
00687295-v	duvidar	55.0
13395652-n	níquel	55.0
07435273-n	erupção	55.0
00012531-r	facilmente	55.0
06833112-n	s	55.0
13946760-n	equivalência	55.0
13946760-n	igualdade	55.0
00408624-v	preparar	55.0
00408624-v	formar	55.0
00408624-v	fazer	55.0
02295842-v	juntar	55.0
01363648-v	aplicar	55.0
80000903-n	descarga	55.0
06769392-n	erro	55.0
07447261-n	acontecimento	55.0
07447261-n	ocasião	55.0
07447261-n	ato	55.0
02130672-a	duvidoso	55.0
13659760-n	quilómetro	55.0
13659760-n	km	55.0
13659760-n	quilômetro	55.0
00688377-v	contar	2.2516
00688377-v	confiar	55.0
01130261-a	santo	55.0
02529284-v	abandonar	55.0
02529284-v	falhar	55.0
00041393-r	fora_do_caminho	55.0
02190166-n	mosca	55.0
01270486-a	rápido	55.0
03220513-n	cúpula	55.0
02928347-a	índio	55.0
14222352-n	rosácea	55.0
01464700-a	tenro	55.0
01464700-a	carinhoso	55.0
01464700-a	cálido	55.0
01464700-a	meigo	55.0
01464700-a	doce	55.0
01464700-a	caloroso	55.0
01464700-a	terno	2.1957
02163301-v	vigiar	2.0177
02163301-v	policiar	55.0
02163301-v	controlar	55.0
02998841-n	chador	55.0
00412271-n	simbolismo	55.0
15286249-n	taxa	55.0
15286249-n	velocidade	55.0
15286249-n	ritmo	55.0
15286249-n	índice	55.0
00057149-a	brocado	55.0
