synset	word	csco
10201366-n	importador	99.0
13587525-n	autoinducció	99.0
11399866-n	John_Wycliffe	99.0
11399866-n	John_Wyclif	99.0
10092098-n	guardabosc	99.0
02700867-v	suportar	99.0
02700867-v	prendre	99.0
02700867-v	sostenir	99.0
02700867-v	contenir	99.0
02700867-v	portar	99.0
02700867-v	dur	99.0
02700867-v	posseir	99.0
01532149-a	prudent	99.0
01532149-a	cautelós	99.0
01532149-a	caut	99.0
10691148-n	ballarí_de_claqué	99.0
01909978-v	remoure	99.0
01909978-v	tombar	99.0
01909978-v	bolcar	99.0
01909978-v	regirar	99.0
02195951-v	endolcir	99.0
02195951-v	ensucrar	99.0
09366762-n	natura	99.0
03051041-n	estenedor_plegable	99.0
12082764-n	selenipedium	99.0
12082764-n	genus_selenipedium	99.0
06764867-n	remesa	99.0
00194831-n	habituació	99.0
04303497-n	grapadora	99.0
07003352-n	historieta_il·lustrada	99.0
07003352-n	tira_còmica	99.0
06287859-n	anàfora	99.0
06578527-n	MapQuest	99.0
06370522-n	saga	99.0
06370522-n	epopeia	99.0
00253761-v	desenvolupar-se	99.0
00253761-v	desenvolupar	99.0
11956671-n	genus_coreopsis	99.0
02459485-n	mylodon_darwini	99.0
13236354-n	genus_cynancum	99.0
11189579-n	Thomas_Moore	99.0
02664511-n	parophrys	99.0
02664511-n	genus_parophrys	99.0
14595543-n	estirè	99.0
02596888-n	umbrina	99.0
02596888-n	genus_umbrina	99.0
11011398-n	Cary_Grant	99.0
00697589-v	decidir	99.0
00697589-v	prendre_una_decisió	99.0
00697589-v	determinar	99.0
05026312-n	massa_molecular	99.0
05026312-n	pes_molecular	99.0
11198608-n	Eadweard_Muybridge	99.0
08188235-n	conjunt	99.0
08188235-n	banda	99.0
08188235-n	grup	99.0
00333426-v	dividir	99.0
14455700-n	nul·litat	99.0
14455700-n	no-res	99.0
03233744-n	pont_llevadís	99.0
05593181-n	húmer	99.0
07289014-n	dificultat	99.0
07289014-n	contrarietat	99.0
07289014-n	problema	99.0
00775286-n	presa	99.0
00775286-n	capció	99.0
00775286-n	captura	99.0
02531820-n	clupea	99.0
02531820-n	genus_clupea	99.0
03046802-n	pèndola	99.0
12914433-n	verbenàcies	99.0
08387213-n	aristocràcia	99.0
02701730-n	orgue_americà	99.0
14440875-n	degeneració	99.0
06309383-n	categoria_sintàctica	99.0
06309383-n	categoria_gramatical	99.0
10191192-n	humanista	99.0
00684480-a	decisiu	99.0
02317335-n	estrella_de_mar	99.0
07729485-n	soia	99.0
07729485-n	soja	99.0
05858699-n	variable_depenent	99.0
10809223-n	Esop	99.0
09860506-n	ros	99.0
04367371-n	sutura	99.0
05641834-n	versatilitat	99.0
05641834-n	adaptabilitat	99.0
15009474-n	sal_de_La_Rochelle	80.0
11969410-n	genus_felicia	99.0
11969410-n	felicia	99.0
08732116-n	Colòmbia	99.0
03886151-n	creu_pontifical	99.0
00938538-n	pintura_a_l'oli	99.0
12456845-n	hemerocal·lis	99.0
02235229-v	trametre	99.0
02235229-v	despatxar	99.0
02235229-v	cedir	99.0
02235229-v	lliurar	99.0
02235229-v	entregar	99.0
01011973-a	inicial	99.0
09406551-n	Mar_Roig	99.0
13273836-n	dividend	99.0
02342132-v	complementar	99.0
12724942-n	salze	99.0
11869890-n	genus_aethionema	99.0
11869890-n	aethionema	99.0
13388245-n	moneda	99.0
13388245-n	peça	99.0
07220773-n	conte	99.0
07220773-n	relat	99.0
07220773-n	narració	99.0
07220773-n	història	99.0
08518940-n	conca	99.0
08518940-n	dàrsena	99.0
02609466-n	genus_hemipteronatus	99.0
02609466-n	hemipteronatus	99.0
00028362-v	tonificar	99.0
00028362-v	vigoritzar	99.0
00028362-v	envigorir	99.0
10882706-n	Thomas_Carlyle	99.0
07885937-n	libació	99.0
09107305-n	Poplar_Bluff	99.0
15022171-n	globulina	99.0
03626272-n	empunyadura	99.0
11787892-n	genus_dracontium	99.0
01045318-v	deixar-la_anar	99.0
10862822-n	Willy_Brandt	99.0
02016062-v	enlairar-se	99.0
02016062-v	marxar	99.0
09359031-n	Moray_Firth	99.0
01423929-v	garrotejar	99.0
07041595-n	trio	99.0
01249991-n	recessió	99.0
01249991-n	retirada	99.0
01249991-n	retrocés	99.0
03124043-n	botes_camperes	99.0
03124043-n	camperes	99.0
06200344-n	predilecció	99.0
06200344-n	preferència	99.0
02080577-a	satisfactori	99.0
12200747-n	pterospermum	99.0
12200747-n	genus_pterospermum	99.0
02942958-a	filogenètic	99.0
05450888-n	fagòcit	99.0
11310523-n	Stephen_Spender	99.0
02435671-a	insuportable	99.0
02435671-a	intolerable	99.0
02435671-a	inaguantable	99.0
02435671-a	insofrible	99.0
02435671-a	irresistible	99.0
12660601-n	rubiàcia	99.0
06469694-n	croquis	99.0
06469694-n	esbós	99.0
03908618-n	plumier	99.0
03908618-n	estoig	99.0
03908618-n	plomer	99.0
02595902-n	sciaena	99.0
02595902-n	genus_sciaena	99.0
10691052-n	taoiseach	99.0
00983333-v	accentuar	99.0
07819303-n	mostassa	99.0
00642644-v	extrapolar	99.0
00642644-v	interpolar	99.0
13685809-n	lev	99.0
04895979-n	suspicàcia	99.0
10846504-n	Henri_Bergson	99.0
11324428-n	Anne_Sullivan	99.0
10437698-n	habitant_de_la_plana	80.0
03132879-n	fer_ganxet	99.0
03132879-n	ganxet	99.0
04248209-n	gafeta	99.0
04248209-n	gafet	99.0
02483267-v	executar	99.0
02483267-v	ajusticiar	99.0
09874118-n	cerveser	99.0
00827638-n	tancament	99.0
08225736-n	consistori	99.0
08225736-n	municipalitat	99.0
08225736-n	ajuntament	99.0
05513807-n	sistema_reproductor_masculí	99.0
